Select,ID,Name,Grade Basis,Units,Program and Plan,Level,Last Enrollment DateTime
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Senior,04/25/2012 1:09:49PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,05/26/2012 1:43:34AM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,07/25/2012 5:44:52PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,07/27/2012 5:12:51AM
,123,some student,Graded,3,Second Baccalaureate - Software Engineering Intended,Fifth Year,07/31/2012 2:30:00PM
,123,some student,Graded,3,Second Baccalaureate - Computer Science Intended,Fifth Year,08/06/2012 2:46:35PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Junior,08/06/2012 8:28:24PM
,123,some student,Graded,3,Undergraduate - Undeclared Intended,Junior,08/07/2012 12:59:36PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Junior,08/08/2012 9:12:23AM
,123,some student,Graded,0,Undergraduate - Software Engineering Intended,Junior,08/08/2012 12:52:41PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Junior,08/09/2012 8:46:07AM
,123,some student,Graded,0,Undergraduate - CSE - University College,Sophomore,08/09/2012 12:46:50PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Junior,08/10/2012 3:37:53AM
,123,some student,Graded,3,Undergraduate - Undeclared Engr Intended,Sophomore,08/11/2012 12:35:21PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,08/14/2012 1:49:54PM
,123,some student,Graded,3,Undergraduate - Physics-BS/Electrical Engineering Minor,Senior,08/14/2012 2:12:31PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Senior,08/15/2012 12:29:25PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Junior,08/16/2012 3:15:52PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Junior,08/17/2012 12:58:28PM
,123,some student,Graded,3,Undergraduate - CS - University College,Freshman,08/17/2012 2:32:24PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,08/17/2012 3:16:33PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Junior,08/17/2012 4:52:30PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,08/17/2012 5:02:34PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Junior,08/20/2012 12:31:28PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Junior,08/20/2012 3:37:04PM
,123,some student,Graded,0,Undergraduate - Computer Engineering Intended,Senior,08/20/2012 8:29:31PM
,123,some student,Graded,3,Undergraduate - Software Engineering Intended,Senior,08/21/2012 7:08:53AM
,123,some student,Graded,0,Undergraduate - Communication CTEC-BA,Senior,08/21/2012 2:20:16PM
,123,some student,Graded,3,Undergraduate - Undeclared Intended,Junior,08/21/2012 2:55:48PM
,123,some student,Graded,3,Undergraduate - CS - University College,Freshman,08/22/2012 8:42:55AM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,08/22/2012 12:08:58PM
,123,some student,Graded,3,Undergraduate - Undeclared Engr Intended,Senior,08/22/2012 1:09:26PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,08/22/2012 1:22:14PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Senior,08/22/2012 2:16:45PM
,123,some student,Graded,3,Second Baccalaureate - Computer Science Intended,Fifth Year,08/22/2012 2:50:15PM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Senior,08/22/2012 3:06:53PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Senior,08/22/2012 3:08:25PM
,123,some student,Graded,3,Second Baccalaureate - Computer Science Intended,Fifth Year,08/23/2012 12:31:22PM
,123,some student,Graded,3,Doctoral - Urban Plan & Public Policy-PHD,Graduate,08/23/2012 4:35:32PM
,123,some student,Graded,3,Undergraduate - Computer Engineering Intended,Junior,08/24/2012 8:31:44AM
,123,some student,Graded,3,Undergraduate - Computer Science Intended,Sophomore,08/24/2012 11:22:34AM
,123,some student,Graded,3,Undergraduate - Electrical Engr Intended,Sophomore,08/24/2012 3:00:05PM
,123,some student,Graded,3,Undergraduate - CSE - University College,Freshman,08/29/2012 9:46:23AM
,123,some student,Graded,3,Undergrad Non-Degree Seeking - Electrical Engr Intended,Senior,09/07/2012 11:14:32AM
